"id";"name";"team_id";"value";"sporza_name"
"1";"Karlo Letica";"1";"30";"Karlo Letica"
"2";"Ethan Horvath";"1";"10";"Ethan Horvath"
"3";"Guillaume Hubert";"1";"5";"Guillaume Hubert"
"4";"Brent Gabriël";"1";"1";"Brent Gabriël"
"5";"Stefano Denswil";"1";"50";"Stefano Denswil"
"6";"Brandon Mechele";"1";"45";"Brandon Mechele"
"7";"Matej Mitrovic";"1";"40";"Matej Mitrovic"
"8";"Benoît Poulain";"1";"25";"Benoît Poulain"
"9";"Saulo Decarli";"1";"18";"Saulo Decarli"
"10";"Luan Peres Petroni";"1";"7";"Luan Peres Petroni"
"11";"Dion Cools";"1";"30";"Dion Cools"
"12";"Clinton Mata";"1";"25";"Clinton Mata"
"13";"Ivan Tomecak";"1";"10";"Ivan Tomecak"
"14";"Marvelous Nakamba";"1";"80";"Marvelous Nakamba"
"15";"Brandon Baiye";"1";"4";"Brandon Baiye"
"16";"Ruud Vormer";"1";"75";"Ruud Vormer"
"17";"Sofyan Amrabat";"1";"45";"Sofyan Amrabat"
"18";"Mats Rits";"1";"25";"Mats Rits"
"19";"Hans Vanaken";"1";"85";"Hans Vanaken"
"20";"Arnaut Danjuma Groeneveld";"1";"40";"Arnaut Danjuma Groeneveld"
"21";"Krépin Diatta";"1";"30";"Krépin Diatta"
"22";"Thibault Vlietinck";"1";"3";"Thibault Vlietinck"
"23";"Siebe Schrijvers";"1";"35";"Siebe Schrijvers"
"24";"Wesley Moraes";"1";"90";"Wesley Moraes"
"25";"Dennis";"1";"50";"Dennis"
"26";"Kaveh Rezaei";"1";"40";"Kaveh Rezaei"
"27";"Jelle Vossen";"1";"25";"Jelle Vossen"
"28";"Loïs Openda";"1";"6";"Loïs Openda"
"29";"Davino Verhulst";"2";"7";"Davino Verhulst"
"30";"Ortwin De Wolf";"2";"5";"Ortwin De Wolf"
"31";"Robin Mantel";"2";"1";"Robin Mantel"
"32";"Jakov Filipovic";"2";"15";"Jakov Filipovic"
"33";"Joher Khadim Rassoul";"2";"8";"Joher Khadim Rassoul"
"34";"Bambo Diaby";"2";"3";"Bambo Diaby"
"35";"Arno Monsecour";"2";"3";"Arno Monsecour"
"36";"Gil Van Moerzeke";"2";"2";"Gil Van Moerzeke"
"37";"Olivier Deschacht";"2";"1";"Olivier Deschacht"
"38";"Ari Skúlason";"2";"9";"Ari Skúlason"
"39";"Omri Ben Harush";"2";"8";"Omri Ben Harush"
"40";"Mickaël Tirpan";"2";"8";"Mickaël Tirpan"
"41";"Mario Ticinovic";"2";"7";"Mario Ticinovic"
"42";"Tracy Mpati Bibuangu";"2";"7";"Tracy Mpati Bibuangu"
"43";"Stefano Marzo";"2";"6";"Stefano Marzo"
"44";"Lukáš Marecek";"2";"12";"Lukáš Marecek"
"45";"Killian Overmeire";"2";"6";"Killian Overmeire"
"46";"Juan Torres";"2";"2";"Juan Torres"
"47";"Julian Michel";"2";"7";"Julian Michel"
"48";"Mehdi Terki";"2";"7";"Mehdi Terki"
"49";"José Cevallos";"2";"22";"José Cevallos"
"50";"Amine Benchaib";"2";"7";"Amine Benchaib"
"51";"Steve De Ridder";"2";"7";"Steve De Ridder"
"52";"Bob Straetman";"2";"4";"Bob Straetman"
"53";"Guus Hupperts";"2";"8";"Guus Hupperts"
"54";"Marko Miric";"2";"6";"Marko Miric"
"55";"Geoffrey Bia";"2";"4";"Geoffrey Bia"
"56";"Yusuf Lawal";"2";"2";"Yusuf Lawal"
"57";"Djordje Jovanovic";"2";"15";"Djordje Jovanovic"
"58";"Anton Saroka";"2";"5";"Anton Saroka"
"59";"Guillermo Ochoa";"3";"40";"Guillermo Ochoa"
"60";"Arnaud Bodart";"3";"2";"Arnaud Bodart"
"61";"Jean-François Gillet";"3";"1";"Jean-François Gillet"
"62";"Christian Luyindama";"3";"60";"Christian Luyindama"
"63";"Kostas Laifis";"3";"40";"Kostas Laifis"
"64";"Milos Kosanovic";"3";"15";"Milos Kosanovic"
"65";"Zinho Vanheusden";"3";"10";"Zinho Vanheusden"
"66";"Senna Miangue";"3";"15";"Senna Miangue"
"67";"Sébastien Pocognoli";"3";"9";"Sébastien Pocognoli"
"68";"Collins Fai";"3";"15";"Collins Fai"
"69";"Luis Pedro Cavanda";"3";"15";"Luis Pedro Cavanda"
"70";"Réginal Goreux";"3";"4";"Réginal Goreux"
"71";"Uche Agbo";"3";"35";"Uche Agbo"
"72";"Gojko Cimirot";"3";"35";"Gojko Cimirot"
"73";"Merveille Bokadi";"3";"10";"Merveille Bokadi"
"74";"Razvan Marin";"3";"70";"Razvan Marin"
"75";"Samuel Bastien";"3";"30";"Samuel Bastien"
"76";"Lindon Selahi";"3";"2";"Lindon Selahi"
"77";"Valerii Luchkevych";"3";"8";"Valerii Luchkevych"
"78";"Carlinhos";"3";"12";"Carlinhos"
"79";"Paul José Mpoku";"3";"30";"Paul José Mpoku"
"80";"Maxime Lestienne";"3";"25";"Maxime Lestienne"
"81";"Moussa Djenepo";"3";"20";"Moussa Djenepo"
"82";"William Balikwisha";"3";"4";"William Balikwisha"
"83";"Mehdi Carcela-González";"3";"35";"Mehdi Carcela-González"
"84";"Renaud Emond";"3";"25";"Renaud Emond"
"85";"Orlando Sá";"3";"15";"Orlando Sá"
"86";"Obbi Oulare";"3";"15";"Obbi Oulare"
"87";"Rémy Riou";"4";"6";"Rémy Riou"
"88";"Nicolas Penneteau";"4";"5";"Nicolas Penneteau"
"89";"Parfait Mandanda";"4";"4";"Parfait Mandanda"
"90";"Valentin Baume";"4";"1";"Valentin Baume"
"91";"Joachim Imbrechts";"4";"1";"Joachim Imbrechts"
"92";"Dorian Dessoleil";"4";"25";"Dorian Dessoleil"
"93";"Gabriele Angella";"4";"10";"Gabriele Angella"
"94";"Steeven Willems";"4";"8";"Steeven Willems"
"95";"Dorian Dervite";"4";"5";"Dorian Dervite"
"96";"Gjoko Zajkov";"4";"4";"Gjoko Zajkov"
"97";"Francisco Martos";"4";"4";"Francisco Martos"
"98";"Maxime Busi";"4";"1";"Maxime Busi"
"99";"Núrio";"4";"12";"Núrio"
"100";"Francis N'Ganga";"4";"5";"Francis N'Ganga"
"101";"Benjamin Boulenger";"4";"3";"Benjamin Boulenger"
"102";"Stergos Marinos";"4";"6";"Stergos Marinos"
"103";"Gaëtan Hendrickx";"4";"10";"Gaëtan Hendrickx"
"104";"Marco Ilaimaharitra";"4";"10";"Marco Ilaimaharitra"
"105";"Omid Noorafkan";"4";"9";"Omid Noorafkan"
"106";"Christophe Diandy";"4";"9";"Christophe Diandy"
"107";"Nathan Rodes";"4";"1";"Nathan Rodes"
"108";"Cristian Benavente";"4";"45";"Cristian Benavente"
"109";"Massimo Bruno";"4";"13";"Massimo Bruno"
"110";"Enes Saglik";"4";"5";"Enes Saglik"
"111";"David Henen";"4";"3";"David Henen"
"112";"Ali Gholizadeh";"4";"15";"Ali Gholizadeh"
"113";"Romain Grange";"4";"6";"Romain Grange"
"114";"Adama Niane";"4";"30";"Adama Niane"
"115";"Jérémy Perbet";"4";"10";"Jérémy Perbet"
"116";"Victor Osimhen";"4";"10";"Victor Osimhen"
"117";"Fabrice Ondoa";"5";"9";"Fabrice Ondoa"
"118";"William Dutoit";"5";"8";"William Dutoit"
"119";"Thomas De Bie";"5";"1";"Thomas De Bie"
"120";"Zarko Tomasevic";"5";"15";"Zarko Tomasevic"
"121";"Nicolas Lombaerts";"5";"12";"Nicolas Lombaerts"
"122";"Wout Faes";"5";"10";"Wout Faes"
"123";"Aleksandar Bjelica";"5";"10";"Aleksandr Bjelica"
"124";"Goran Milovic";"5";"9";"Goran Milovic"
"125";"Laurens De Bock";"5";"17";"Laurens De Bock"
"126";"Logan Ndenbe";"5";"3";"Logan Ndenbe"
"127";"Brecht Capon";"5";"9";"Brecht Capon"
"128";"Jordi Vanlerberghe";"5";"13";"Jordi Vanlerberghe"
"129";"Aristote Nkaka";"5";"10";"Aristote Nkaka"
"130";"Hasan Özkan";"5";"4";"Hasan Özkan"
"131";"Kevin Vandendriessche";"5";"9";"Kevin Vandendriessche"
"132";"Emmanuel Banda";"5";"7";"Emmanuel Banda"
"133";"Michiel Jonckheere";"5";"7";"Michiel Jonckheere"
"134";"Francois Marquet";"5";"4";"Francois Marquet"
"135";"Jelle Bataille";"5";"4";"Jelle Bataille"
"136";"Sander Coopman";"5";"17";"Sander Coopman"
"137";"Fernando Canesin Matos";"5";"12";"Fernando Canesin Matos"
"138";"Robbie D'Haese";"5";"3";"Robbie D'Haese"
"139";"Ibrahima Conté";"5";"5";"Ibrahima Conté"
"140";"Indy Boonen";"5";"2";"Indy Boonen"
"141";"Richairo Zivkovic";"5";"25";"Richairo Zivkovic"
"142";"Sindrit Guri";"5";"7";"Sindrit Guri"
"143";"Fashion Sakala";"5";"6";"Fashion Sakala"
"144";"Paul Nardi";"6";"12";"Paul Nardi"
"145";"Miguel Van Damme";"6";"2";"Miguel Van Damme"
"146";"Brian Vandenbussche";"6";"1";"Brian Vandenbussche"
"147";"Naomichi Ueda";"6";"11";"Naomichi Ueda"
"148";"Jérémy Taravel";"6";"7";"Jérémy Taravel"
"149";"Benjamin Lambot";"6";"5";"Benjamin Lambot"
"150";"Benjamin Delacourt";"6";"2";"Benjamin Delacourt"
"151";"Abud Omar";"6";"4";"Abud Omar"
"152";"Yoann Etienne";"6";"3";"Yoann Etienne"
"153";"Lloyd Palun";"6";"8";"Lloyd Palun"
"154";"Vitinho";"6";"4";"Vitinho"
"155";"Pierre-Daniel Nguinda";"6";"3";"Pierre-Daniel Nguinda"
"156";"Isaac Koné";"6";"8";"Isaac Koné"
"157";"Johanna Omolo";"6";"7";"Johanna Omolo"
"158";"Kévin Appin";"6";"2";"Kévin Appin"
"159";"Robbe Decostere";"6";"1";"Robbe Decostere"
"160";"Charles Vanhoutte";"6";"1";"Charles Vanhoutte"
"161";"Arnaud Lusamba";"6";"20";"Arnaud Lusamba"
"162";"Xavier Mercier";"6";"12";"Xavier Mercier"
"163";"Kevin Hoggas";"6";"9";"Kevin Hoggas"
"164";"Franck Irie";"6";"2";"Franck Irie"
"165";"Andi Koshi";"6";"1";"Andi Koshi"
"166";"Jonathan Farias";"6";"1";"Jonathan Farias"
"167";"Nabil Alioui";"6";"5";"Nabil Alioui"
"168";"Kylian Hazard";"6";"2";"Kylian Hazard"
"169";"Serge Gakpé";"6";"9";"Serge Gakpé"
"170";"Guévin Tormin";"6";"9";"Guévin Tormin"
"171";"Anderson López";"6";"1";"Anderson López"
"172";"Gianni Bruno";"6";"12";"Gianni Bruno"
"173";"Irvin Cardona";"6";"10";"Irvin Cardona"
"174";"Dylan De Belder";"6";"7";"Dylan De Belder"
"175";"Adrien Bongiovanni";"6";"5";"Adrien Bongiovanni"
"176";"Davy Roef";"7";"17";"Davy Roef"
"177";"Kevin Debaty";"7";"3";"Kevin Debaty"
"178";"Anthony Swolfs";"7";"2";"Anthony Swolfs"
"179";"Valtteri Moren";"7";"6";"Valtteri Moren"
"180";"Aleksandar Vukotic";"7";"6";"Aleksandar Vukotic"
"181";"Maximiliano Caufriez";"7";"5";"Maximiliano Caufriez"
"182";"Tobias Salquist";"7";"3";"Tobias Salquist"
"183";"Alexis Gamboa";"7";"2";"Alexis Gamboa"
"184";"Davino Liessens";"7";"1";"Davino Liessens"
"185";"Milan Massop";"7";"7";"Milan Massop"
"186";"Daam Foulon";"7";"2";"Daam Foulon"
"187";"Jur Schryvers";"7";"5";"Jur Schryvers"
"188";"Oscar Threlkeld";"7";"3";"Oscar Threlkeld"
"189";"Rafidine Abdullah";"7";"8";"Rafidine Abdullah"
"190";"Paul Keita";"7";"4";"Paul Keita"
"191";"Djihad Bizimana";"7";"3";"Djihad Bizimana"
"192";"Louis Verstraete";"7";"8";"Louis Verstraete"
"193";"Karlo Lulic";"7";"4";"Karlo Lulic"
"194";"Daan Heymans";"7";"4";"Daan Heymans"
"195";"Denzel Jubitana";"7";"3";"Denzel Jubitana"
"196";"Nana Opoku Ampomah";"7";"15";"Nana Opoku Ampomah"
"197";"Tuur Dierckx";"7";"8";"Tuur Dierckx"
"198";"Beni Badibanga";"7";"4";"Beni Badibanga"
"199";"Aleksandar Boljevic";"7";"8";"Aleksandar Boljevic"
"200";"Floriano Vanzo";"7";"7";"Floriano Vanzo"
"201";"Apostolos Vellios";"7";"10";"Apostolos Vellios"
"202";"Francesco Forte";"7";"5";"Francesco Forte"
"203";"Lamine Ndao";"7";"4";"Lamine Ndao"
"204";"Din Sula";"7";"2";"Din Sula"
"205";"Cherif Ndiaye";"7";"2";"Cherif Ndiaye"
"206";"Hendrik Van Crombrugge";"8";"18";"Hendrik Van Crombrugge"
"207";"Babacar Niasse Mbaye";"8";"3";"Babacar Niasse Mbaye"
"208";"Abdul Manaf Nurudeen";"8";"1";"Abdul Manaf Nurudeen"
"209";"Morteza Pouraliganji";"8";"15";"Morteza Pouraliganji"
"210";"Ibrahim Diallo";"8";"5";"Ibrahim Diallo"
"211";"Rocky Bushiri";"8";"5";"Rocky Bushiri"
"212";"Siebe Blondelle";"8";"4";"Siebe Blondelle"
"213";"Xavi Molina";"8";"3";"Xavi Molina"
"214";"Jordan Loties";"8";"3";"Jordan Loties"
"215";"Cheick Keita";"8";"10";"Cheick Keita"
"216";"Silas Gnaka";"8";"5";"Silas Gnaka"
"217";"Souleymane Aw";"8";"2";"Souleymane Aw"
"218";"Julian Schauerte";"8";"6";"Julian Schauerte"
"219";"Carlos Martínez";"8";"1";"Carlos Martínez"
"220";"Rémi Mulumba";"8";"6";"Rémi Mulumba"
"221";"Diawandou Diagné";"8";"5";"Diawandou DiagnÃ©"
"222";"Jean-Thierry Lazare";"8";"10";"Jean-Thierry Lazare"
"223";"Sulayman Marreh";"8";"4";"Sulayman Marreh"
"224";"Luis García";"8";"2";"Luis García"
"225";"Nils Schouterden";"8";"6";"Nils Schouterden"
"226";"Danijel Milicevic";"8";"9";"Danijel Milicevic"
"227";"Megan Laurent";"8";"4";"Megan Laurent"
"228";"Alessio Castro-Montes";"8";"3";"Alessio Castro-Montes"
"229";"Ivan Yagan";"8";"6";"Ivan Yagan"
"230";"Eric Ocansey";"8";"15";"Eric Ocansey"
"231";"Mamadou Fall";"8";"7";"Mamadou Fall"
"232";"Yuta Toyokawa";"8";"10";"Yuta Toyokawa"
"233";"David Pollet";"8";"8";"David Pollet"
"234";"Samuel Essende";"8";"3";"Samuel Essende"
"235";"Moussa Diallo";"8";"1";"Moussa Diallo"
"236";"Danny Vukovic";"9";"10";"Danny Vukovic"
"237";"Nordin Jackers";"9";"6";"Nordin Jackers"
"238";"Maarten Vandevoordt";"9";"2";"Maarten Vandevoordt"
"239";"Joseph Aidoo";"9";"40";"Joseph Aidoo"
"240";"Sébastien Dewaest";"9";"22";"Sébastien Dewaest"
"241";"Jhon Lucumi";"9";"22";"Jhon Lucumi"
"242";"Rubin Seigers";"9";"4";"Rubin Seigers"
"243";"Jere Uronen";"9";"12";"Jere Uronen"
"244";"Bojan Nastic";"9";"10";"Bojan Nastic"
"245";"Joakim Mæhle";"9";"20";"Joakim Mæhle"
"246";"Sander Berge";"9";"120";"Sander Berge"
"247";"Ibrahima Seck";"9";"20";"Ibrahima Seck"
"248";"Vladimir Screciu";"9";"12";"Vladimir Screciu"
"249";"Dries Wouters";"9";"8";"Dries Wouters"
"250";"Ruslan Malinovskiy";"9";"70";"Ruslan Malinovskiy"
"251";"Jakub Piotrowski";"9";"20";"Jakub Piotrowski"
"252";"Bryan Heynen";"9";"17";"Bryan Heynen"
"253";"Alejandro Pozuelo";"9";"65";"Alejandro Pozuelo"
"254";"Ivan Fiolic";"9";"15";"Ivan Fiolic"
"255";"Leandro Trossard";"9";"100";"Leandro Trossard"
"256";"Joseph Paintsil";"9";"25";"Joseph Paintsil"
"257";"Dieumerci Ndongala";"9";"20";"Dieumerci Ndongala"
"258";"Edon Zhegrova";"9";"15";"Edon Zhegrova"
"259";"Mbwana Samatta";"9";"40";"Mbwana Samatta"
"260";"Marcus Ingvartsen";"9";"25";"Marcus Ingvartsen"
"261";"Zinho Gano";"9";"18";"Zinho Gano"
"262";"Thomas Didillon";"10";"30";"Thomas Didillon"
"263";"Frank Boeckx";"10";"7";"Frank Boeckx"
"264";"Boy de Jong";"10";"1";"Boy de Jong"
"265";"Ilias Moutha-Sebtaoui";"10";"1";"Ilias Moutha-Sebtaoui"
"266";"Bubacarr Sanneh";"10";"60";"Bubacarr Sanneh"
